MUNICIPIO,REDE,IDEB_2017
São Caetano de Odivelas,Pública,-
São Caetano de Odivelas,Estadual,-
São Domingos do Araguaia,Pública,2.7
São Domingos do Araguaia,Estadual,2.7
São Domingos do Capim,Pública,2.2
São Domingos do Capim,Estadual,2.2
São Félix do Xingu,Estadual,2.2
São Félix do Xingu,Pública,2.2
São Francisco do Pará,Pública,2.2
São Francisco do Pará,Estadual,2.2
São Geraldo do Araguaia,Pública,3
São Geraldo do Araguaia,Estadual,3
São João da Ponta,Estadual,2.2
São João da Ponta,Pública,2.2
São João de Pirabas,Estadual,2.4
São João de Pirabas,Pública,2.4
São João do Araguaia,Estadual,2.4
São João do Araguaia,Pública,2.4
São Miguel do Guamá,Estadual,2.7
São Miguel do Guamá,Pública,2.7
São Sebastião da Boa Vista,Pública,2.7
São Sebastião da Boa Vista,Estadual,2.7
Sapucaia,Estadual,2.8
Sapucaia,Pública,2.8
Senador José Porfírio,Pública,3.1
Senador José Porfírio,Estadual,3.1
Soure,Pública,2.7
Soure,Estadual,2.7
Tailândia,Estadual,2.9
Tailândia,Pública,2.9
Terra Alta,Estadual,2.6
Terra Alta,Pública,2.6
Terra Santa,Estadual,2.2
Terra Santa,Pública,2.2
Tomé-Açu,Estadual,2.5
Tomé-Açu,Pública,2.5
Tracuateua,Pública,2.5
Tracuateua,Estadual,2.5
Trairão,Estadual,2.1
Trairão,Pública,2.1
Tucumã,Pública,2.9
Tucumã,Estadual,2.9
Tucuruí,Pública,3
Tucuruí,Estadual,2.9
Ulianópolis,Pública,2.5
Ulianópolis,Estadual,2.5
Uruará,Estadual,2.5
Uruará,Pública,2.5
Vigia,Estadual,2.8
Vigia,Pública,2.8
Viseu,Estadual,2
Viseu,Pública,2
Vitória do Xingu,Pública,3.2
Vitória do Xingu,Estadual,3.2
Xinguara,Pública,2.6
Xinguara,Estadual,2.6
Serra do Navio,Estadual,-
Serra do Navio,Pública,-
Amapá,Pública,2.2
Amapá,Estadual,2.2
Pedra Branca do Amapari,Pública,2
Pedra Branca do Amapari,Estadual,2
Calçoene,Pública,2.8
Calçoene,Estadual,2.8
Cutias,Pública,2.6
Cutias,Estadual,2.6
Ferreira Gomes,Pública,2.5
Ferreira Gomes,Estadual,2.5
Itaubal,Estadual,2.7
Itaubal,Pública,2.7
Laranjal do Jari,Pública,2.7
Laranjal do Jari,Estadual,2.2
Laranjal do Jari,Federal,4.3
Macapá,Estadual,3
Macapá,Pública,3.1
Macapá,Federal,5.3
Mazagão,Estadual,-
Mazagão,Pública,-
Oiapoque,Estadual,2.7
Oiapoque,Pública,2.7
Porto Grande,Pública,2.8
Porto Grande,Estadual,2.7
Pracuúba,Pública,1.8
Pracuúba,Estadual,1.8
Santana,Pública,3.1
Santana,Estadual,3.1
Tartarugalzinho,Estadual,2.8
Tartarugalzinho,Pública,2.8
Vitória do Jari,Estadual,3
Vitória do Jari,Pública,3
Abreulândia,Pública,3.8
Abreulândia,Estadual,3.8
Aguiarnópolis,Pública,3.7
Aguiarnópolis,Estadual,3.7
Aliança do Tocantins,Pública,4.5
Aliança do Tocantins,Estadual,4.5
Almas,Pública,3.8
Almas,Estadual,3.8
Alvorada,Estadual,3.4
Alvorada,Pública,3.4
Ananás,Pública,3.1
Ananás,Estadual,3.1
Angico,Pública,4.2
Angico,Estadual,4.2
Aparecida do Rio Negro,Pública,4.4
Aparecida do Rio Negro,Estadual,4.4
Aragominas,Estadual,3.4
Aragominas,Pública,3.4
Araguacema,Pública,3
Araguacema,Estadual,3
Araguaçu,Estadual,4.2
Araguaçu,Pública,4.2
Araguaína,Estadual,3.6
Araguaína,Federal,5.2
Araguaína,Pública,3.7
Araguanã,Pública,3.7
Araguanã,Estadual,3.7
Araguatins,Federal,3.9
Araguatins,Estadual,3.3
Araguatins,Pública,3.5
Arapoema,Estadual,3.6
Arapoema,Pública,3.6
Arraias,Pública,4
Arraias,Estadual,4
Augustinópolis,Pública,3.1
Augustinópolis,Estadual,3.1
Aurora do Tocantins,Estadual,4
Aurora do Tocantins,Pública,4
Axixá do Tocantins,Pública,2.6
Axixá do Tocantins,Estadual,2.6
Babaçulândia,Pública,3.1
Babaçulândia,Estadual,3.1
Bandeirantes do Tocantins,Estadual,3.3
Bandeirantes do Tocantins,Pública,3.3
Barra do Ouro,Pública,3.3
Barra do Ouro,Estadual,3.3
Barrolândia,Estadual,3.5
Barrolândia,Pública,3.5
Bernardo Sayão,Estadual,3.4
Bernardo Sayão,Pública,3.4
Bom Jesus do Tocantins,Estadual,3.8
Bom Jesus do Tocantins,Pública,3.8
Brasilândia do Tocantins,Pública,3.8
Brasilândia do Tocantins,Estadual,3.8
Brejinho de Nazaré,Pública,3.8
Brejinho de Nazaré,Estadual,3.8
Buriti do Tocantins,Estadual,3.5
Buriti do Tocantins,Pública,3.5
Cachoeirinha,Pública,3.3
Cachoeirinha,Estadual,3.3
Campos Lindos,Estadual,2.9
Campos Lindos,Pública,2.9
Cariri do Tocantins,Pública,3.9
Cariri do Tocantins,Estadual,3.9
Carmolândia,Pública,4.1
Carmolândia,Estadual,4.1
Carrasco Bonito,Estadual,3.5
Carrasco Bonito,Pública,3.5
Caseara,Estadual,3.9
Caseara,Pública,3.9
Centenário,Pública,3.3
Centenário,Estadual,3.3
Chapada da Natividade,Estadual,3.6
Chapada da Natividade,Pública,3.6
Colinas do Tocantins,Estadual,3.7
Colinas do Tocantins,Federal,-
Colinas do Tocantins,Pública,3.8
Combinado,Pública,4.2
Combinado,Estadual,4.2
Conceição do Tocantins,Estadual,3.8
Conceição do Tocantins,Pública,3.8
Couto Magalhães,Pública,3.3
Couto Magalhães,Estadual,3.3
Cristalândia,Estadual,4.3
Cristalândia,Pública,4.3
Crixás do Tocantins,Estadual,3.3
Crixás do Tocantins,Pública,3.3
Darcinópolis,Estadual,3.6
Darcinópolis,Pública,3.6
Dianópolis,Pública,3.6
Dianópolis,Estadual,3.6
Dianópolis,Federal,4
Divinópolis do Tocantins,Estadual,3.4
Divinópolis do Tocantins,Pública,3.4
Dois Irmãos do Tocantins,Pública,4
Dois Irmãos do Tocantins,Estadual,4
Dueré,Pública,3.5
Dueré,Estadual,3.5
Esperantina,Pública,3.4
Esperantina,Estadual,3.4
Fátima,Pública,3.6
Fátima,Estadual,3.6
Figueirópolis,Estadual,4.2
Figueirópolis,Pública,4.2
Filadélfia,Estadual,3.4
Filadélfia,Pública,3.4
Formoso do Araguaia,Pública,3.5
Formoso do Araguaia,Estadual,3.5
Fortaleza do Tabocão,Estadual,3.7
Fortaleza do Tabocão,Pública,3.7
Goianorte,Estadual,3.8
Goianorte,Pública,3.8
Goiatins,Pública,2.9
